Epoch,Train Loss,Validation Loss
1,1.7988338069703844,1.797975026596917
2,1.6915877767774794,1.7495069865756565
3,1.654248215675354,2.2050336758083766
4,1.6338184032652112,1.5707717606650458
5,1.6309044771618313,1.4777930472691854
6,1.6211416262732612,1.745587450811598
7,1.6170296122233072,1.4369626547919379
8,1.340443708123101,1.0854796279271444
9,1.2658492411931357,1.106569116168552
10,1.2334598008473714,1.1024987580193413
11,1.2014408776601155,1.0531453383339775
12,1.1716552454630533,1.0043326180140177
13,1.1458614560021294,0.961420080142551
14,1.1189978157255385,1.0027359783702428
15,0.9422913528972202,0.7773644966125488
16,0.8748444139904447,0.7540926393932766
17,0.8386534764713711,0.7363794485039181
18,0.8047054929309421,0.7335678522057003
19,0.7771221061706542,0.7349947597927518
20,0.7553063139597574,0.7238885207759009
