Epoch,Train Loss,Validation Loss
1,0.8430925514221191,2.391380856704712
2,0.905401997423172,2.416357141113281
3,1.2030027908325196,2.409044291305542
4,1.4232269624710083,2.3861086921691896
5,1.5196665676116943,2.341367163848877
6,1.5776336713790893,2.3302106475830078
7,1.6267881950378418,2.3358158336639403
8,1.427836737060547,2.337365503692627
9,1.354871775817871,2.3436641506195066
10,1.3233187547683716,2.3374066192626954
11,1.3040751091003417,2.3408109493255616
12,1.2853513556480407,2.351641818237305
13,1.2839443321228028,2.332855852127075
14,1.2727039775848388,2.334318672943115
15,1.195493493747711,2.338933521270752
16,1.1708448075294495,2.3403758960723877
17,1.1530635664939881,2.339903491973877
18,1.1482578345298766,2.343975830078125
19,1.1388907954216003,2.338569018936157
20,1.1355188084602357,2.3414883056640625
