Epoch,Train Accuracy,Validation Accuracy
1,0.26030000000000003,0.3599333333333333
2,0.34303333333333336,0.4470888888888889
3,0.39834444444444445,0.47355555555555556
4,0.4285555555555556,0.5332888888888889
5,0.45691111111111116,0.5727444444444445
6,0.4750111111111111,0.5813777777777778
7,0.4963666666666667,0.5710666666666667
8,0.5421111111111111,0.6481888888888889
9,0.5523888888888889,0.6535000000000001
10,0.5594777777777779,0.6596666666666667
11,0.5637777777777778,0.6659777777777778
12,0.5690333333333334,0.6719111111111111
13,0.5712555555555556,0.6762888888888889
14,0.5761444444444445,0.6744555555555556
15,0.5861777777777778,0.6845222222222223
16,0.586288888888889,0.6856222222222222
17,0.5883222222222223,0.6877888888888889
18,0.5902000000000001,0.6875111111111112
19,0.5893777777777778,0.6885555555555556
20,0.5926222222222223,0.6887666666666667
