Epoch,Train Loss,Validation Loss
1,2.319056910027398,2.303073436906603
2,2.3033501830206977,2.3027026084899904
3,2.303254584206475,2.3032290943145752
4,2.3033692960103354,2.3031624251471627
5,2.303242793697781,2.303514287990994
6,2.3032620797899033,2.3029024849785698
7,2.3033206143697105,2.3033153482649062
8,2.3027900190989175,2.302609472825792
9,2.3026750005086263,2.3026200879414875
10,2.302672890048557,2.3026281288570827
11,2.3026983304341635,2.3026039261288114
12,2.3026844352298315,2.302612623469035
13,2.302672793621487,2.3026238253275553
14,2.3026788298288983,2.302609528435601
15,2.3026164693196614,2.302597766155667
16,2.3026084164089626,2.302592211405436
17,2.302603064939711,2.3025888231489393
18,2.302600544908312,2.3025871743943958
19,2.302599601872762,2.3025865062289768
20,2.3025995547824434,2.302585877694024
