Epoch,Train Loss,Validation Loss
1,1.9567606823179458,1.7030184193293254
2,1.7603989888721043,1.4764396941502889
3,1.6413169217639498,1.3384573290718926
4,1.557090874057346,1.3415594959894817
5,1.4821457416534425,1.2249815643204582
6,1.427333488591512,1.142923687087165
7,1.3885022707833183,1.0724185633765326
8,1.2906338575363159,0.9754705622673034
9,1.2675890978283353,0.9633248762978448
10,1.2487005247328016,0.9645355054961311
11,1.2435601159201728,0.9383872595257229
12,1.2357123792648315,0.9331531850814819
13,1.2260554747051662,0.9247794742690192
14,1.2205560817930434,0.915641347694397
15,1.2050581887986924,0.9094931870354547
16,1.2033833363427056,0.9070561087184482
17,1.2004068386289808,0.904245811759101
18,1.2014421305232579,0.9019601220130921
19,1.1982713184250726,0.9067398166232639
20,1.197508595445421,0.9014679400020176
