Epoch,Train Loss,Validation Loss
1,2.027531847551134,2.021807513554891
2,1.9918197848425971,1.932629146554735
3,1.9651573843214247,1.9970721875084771
4,1.9565202564027575,1.938640024778578
5,1.9529323520448474,1.9227182036717734
6,1.947080017683241,2.0646580219692656
7,1.952884232627021,1.9800643064498902
8,1.865505402692159,1.8788764566633436
9,1.8618368766360813,1.9044808025148179
10,1.8585565998077394,1.9131212194654676
11,1.8550910666571723,1.8905529779222277
12,1.848820770793491,1.8753534792582194
13,1.844485836537679,1.84388230948978
14,1.839354855770535,1.8479443014356824
15,1.7891540017022027,1.7989207843780517
16,1.7785370914883083,1.8080033387502035
17,1.7742412308586968,1.8100384591208565
18,1.7704377703348795,1.8025829982121786
19,1.7675862353007,1.7837949546813965
20,1.767537019051446,1.773841408390469
