Epoch,Train Accuracy,Validation Accuracy
1,0.24004444444444445,0.2303888888888889
2,0.24635555555555558,0.2686888888888889
3,0.25614444444444445,0.24604444444444445
4,0.2591888888888889,0.26912222222222226
5,0.26014444444444446,0.2666
6,0.2617333333333334,0.22376666666666667
7,0.2601888888888889,0.2583666666666667
8,0.29405555555555557,0.2884333333333334
9,0.29273333333333335,0.2772777777777778
10,0.29560000000000003,0.2798
11,0.29760000000000003,0.28053333333333336
12,0.30102222222222225,0.28105555555555556
13,0.30063333333333336,0.30510000000000004
14,0.30452222222222225,0.30742222222222226
15,0.32461111111111113,0.3235555555555556
16,0.3269,0.3113777777777778
17,0.3279,0.3118666666666667
18,0.3290777777777778,0.3151888888888889
19,0.33276666666666666,0.3245555555555556
20,0.3312555555555556,0.3276555555555556
