Epoch,Train Loss,Validation Loss
1,1.4301904623031616,1.1489521340052287
2,1.0759635639614529,0.9625426772753397
3,0.9269644907739427,0.8823370083596971
4,0.8274342815187242,0.8640068069563972
5,0.757565893236796,0.7864227179527282
6,0.6971231534057193,0.7511158570289612
7,0.6411440124511719,0.7400036576747895
8,0.47161510069900087,0.6559207508616978
9,0.4245716572629081,0.6533896875911289
10,0.3967171263138453,0.6696481148428387
11,0.36841343886057537,0.6726930789205763
12,0.3427615700920423,0.6908432858255175
13,0.320021285393503,0.707861551366912
14,0.29559663972589706,0.720366423898273
15,0.2524169649971856,0.7200507726165983
16,0.24475754740635555,0.7153123929725753
17,0.238365005449454,0.719565130768882
18,0.23664327422247994,0.7202792637109756
19,0.23096059684091144,0.725283707467715
20,0.22769672947592207,0.7286286704699199
