Epoch,Train Loss,Validation Loss
1,1.8535373049841988,1.7100490890926785
2,1.64844142481486,1.589319526884291
3,1.5877590083440145,1.5663709560394288
4,1.5477782843907675,1.545196635246277
5,1.5215347828759087,1.5193060178332858
6,1.504746146689521,1.5279407390170627
7,1.4916958760155572,1.4771690813276503
8,1.4108899885601467,1.414360432518853
9,1.3981736144807604,1.4050571485731336
10,1.3915468663109674,1.417182053841485
11,1.386850032880571,1.398369977506002
12,1.3812450759887696,1.397401295789083
13,1.3775926742341784,1.3904567813661364
14,1.3744004810333252,1.3881358382331
15,1.360272713110182,1.3794908637152778
16,1.3585675375726487,1.3785115787082247
17,1.3562984919653998,1.3785372701327006
18,1.3559556591881645,1.3779105814827812
19,1.3558483666102092,1.3776618087768555
20,1.3566736460579767,1.376282698334588
