Epoch,Train Loss,Validation Loss
1,1.780692420493232,1.8693354936387805
2,1.9099003643459744,1.9980094608306884
3,1.993657462671068,2.0262914106792875
4,2.027823223961724,2.025216073226929
5,2.040685606045193,2.059908117930094
6,2.0442675522698295,2.0248656503889295
7,2.04199523946974,2.130061560482449
8,2.0094166749742297,1.9721060906304253
9,1.986338807381524,1.9947405620151095
10,1.9726138685438368,1.9383972837660048
11,1.9626936270395914,1.9529944713804457
12,1.954837194188436,1.9215850374857584
13,1.9473580604977079,1.9702853655073378
14,1.9423227916929457,1.913811375448439
15,1.9269024059083726,1.9052790979385377
16,1.9224041223314072,1.8995987024731107
17,1.9199658447265624,1.8948838045756022
18,1.9168175424787732,1.9148348136478
19,1.9138389358096652,1.921324013264974
20,1.9123179316626655,1.9011699484931097
