Epoch,Train Loss,Validation Loss
1,2.0784328060150146,2.076415039232042
2,2.011023974948459,1.9563727517022027
3,1.9871527999454075,1.9687795165167914
4,1.9579636938307021,1.9612201793034871
5,1.939009480857849,1.932934804174635
6,1.9201013607872857,1.9618526136186387
7,1.9465263542175293,1.9872194346957737
8,1.9191140066358778,1.9106209894392225
9,1.89927508515252,1.896277738931444
10,1.8848691641277737,1.8862249284108479
11,1.8692958522584704,1.8738817699432373
12,1.8589480002297296,1.8626163496653239
13,1.850991394106547,1.8566368045806885
14,1.845555247455173,1.8488532332102459
15,1.8360788492414686,1.8458289521747164
16,1.833128648546007,1.845000088458591
17,1.8334134675343832,1.8445185433069864
18,1.8323511696709527,1.8437915317323472
19,1.8318642993927001,1.8428120989905463
20,1.8303641745037502,1.8425265151129828
