Epoch,Train Loss,Validation Loss
1,2.312260757700602,2.3035199261559383
2,2.3037183236016165,2.3027728415171307
3,2.303501880009969,2.303375573688083
4,2.303555981953939,2.303280022133721
5,2.3033578782399498,2.3036593845791287
6,2.3033560097588435,2.3029384171379936
7,2.303415342119005,2.303396582116021
8,2.302822808625963,2.3026116233401828
9,2.30268249045478,2.3026209275987415
10,2.302691363864475,2.302628213967217
11,2.302706576707628,2.3026043128119573
12,2.3026936275058323,2.302613499789768
13,2.3026766849517823,2.3026253151363796
14,2.302674026023017,2.302610586717394
15,2.3026123020595977,2.3025993393792046
16,2.3026208562639026,2.302593222808838
17,2.302610747824775,2.3025898174709742
18,2.302613577948676,2.3025881573147244
19,2.3025952609592015,2.302587040964762
20,2.3026101668039956,2.3025859743330215
