Epoch,Train Loss,Validation Loss
1,1.0243415978431702,1.0378218753814696
2,1.1917875130653381,1.2673423549652099
3,1.4545728415489196,1.5896621477127075
4,1.6178808975219727,1.7129992099761964
5,1.7142190523147582,1.682804287338257
6,1.7558976343154906,1.565305712890625
7,1.7920430959701539,1.7264034551620484
8,1.6646718587875367,1.3722655996322632
9,1.5896559642791748,1.333661703491211
10,1.572460741996765,1.332240684223175
11,1.5598841320037842,1.343624790096283
12,1.5551304769515992,1.3877283011436463
13,1.5417715911865235,1.2795446403503419
14,1.5410246799468994,1.311771154975891
15,1.4835989318847655,1.187301040840149
16,1.4612904249191285,1.1747089127540589
17,1.4507716785430909,1.1677480348587037
18,1.4494553623199462,1.1714233860969543
19,1.4498689245224,1.158985727787018
20,1.4512848812103272,1.162170599269867
