Epoch,Train Loss,Validation Loss
1,2.319882031546699,2.303073223071628
2,2.3033502939012314,2.302702779261271
3,2.3032545859018962,2.3032290943145752
4,2.303369297281901,2.3031624251471627
5,2.30324279361301,2.303514287990994
6,2.3032620777553983,2.3029024928622777
7,2.3033206162346733,2.3033153482649062
8,2.3027900191836888,2.302609472825792
9,2.302675000339084,2.3026200879414875
10,2.302672890557183,2.3026281288570827
11,2.3026983306037057,2.3026039261288114
12,2.302684434890747,2.302612623469035
13,2.3026727932824027,2.3026238253275553
14,2.3026788304222956,2.302609528435601
15,2.3026164690653483,2.302597766155667
16,2.3026084166632756,2.302592211405436
17,2.3026030650244818,2.3025888231489393
18,2.3026005452473957,2.3025871743943958
19,2.302599601787991,2.3025865062289768
20,2.3025995544433595,2.302585877694024
