Epoch,Train Loss,Validation Loss
1,1.6891491773348382,1.5330322244844439
2,1.4578023805729405,1.7274572095498943
3,1.4338824761352342,1.691358988040649
4,1.4218971723782912,1.7495755535637856
5,1.418513128567981,1.434236743464809
6,1.4177168051421871,1.4569435825331165
7,1.4170196174070329,1.6060505724329808
8,1.382329916234736,1.3990826891611527
9,1.3738015969935962,1.3920417369266251
10,1.3693353308991163,1.4128501314487887
11,1.3668190586297708,1.4024920030168777
12,1.3653538645585697,1.393298621099572
13,1.3641322018485278,1.4201824147821902
14,1.3612664878054175,1.4375985120778616
15,1.3549554245986135,1.3829448214746003
16,1.3551580403978014,1.38547486138295
17,1.353581246512738,1.3821408807551452
18,1.3524565148890157,1.382170120398529
19,1.353061357245063,1.382871207454533
20,1.3537893618024357,1.3842927369502387
