Epoch,Train Accuracy,Validation Accuracy
1,0.6015333333333334,0.8265666666666667
2,0.7112,0.8609222222222223
3,0.7397111111111111,0.8757777777777778
4,0.7584333333333334,0.884888888888889
5,0.7712,0.8925333333333334
6,0.7797444444444445,0.8949222222222223
7,0.7891888888888889,0.8975000000000001
8,0.7984,0.9013888888888889
9,0.8003777777777779,0.9029333333333334
10,0.8043222222222223,0.9034000000000001
11,0.8037666666666667,0.9037444444444445
12,0.8062444444444444,0.9033444444444445
13,0.8070555555555556,0.9037777777777778
14,0.8090777777777778,0.9052777777777778
15,0.8094,0.9052
16,0.8102222222222223,0.9053666666666668
17,0.8087444444444445,0.9065666666666667
18,0.8079444444444445,0.9070555555555556
19,0.8076444444444445,0.9055777777777778
20,0.8093777777777779,0.9044333333333334
