Epoch,Train Accuracy,Validation Accuracy
1,0.3761777777777778,0.40422222222222226
2,0.43023333333333336,0.4129888888888889
3,0.44102222222222226,0.4222
4,0.44222222222222224,0.3794777777777778
5,0.44645555555555555,0.4628888888888889
6,0.44601111111111114,0.41521111111111114
7,0.4508111111111111,0.4095777777777778
8,0.5458666666666667,0.5880000000000001
9,0.5804111111111111,0.5901777777777778
10,0.5966555555555556,0.5969
11,0.6126666666666667,0.6024777777777778
12,0.6277555555555556,0.5923666666666667
13,0.6404555555555556,0.6407555555555556
14,0.6534,0.6311111111111112
15,0.7317777777777779,0.7152444444444445
16,0.7620888888888889,0.7173777777777778
17,0.7814888888888889,0.7204333333333334
18,0.8002,0.7177777777777778
19,0.8218444444444445,0.7126888888888889
20,0.8390444444444445,0.7123111111111111
