Epoch,Train Accuracy,Validation Accuracy
1,0.6640276994300609,0.7170225212050307
2,0.736894318115505,0.7222872184849372
3,0.8421677138244276,0.889587598713074
4,0.8883269466435838,0.8988008189529102
5,0.9117275185278841,0.883591693477625
6,0.9251103892314575,0.9195671248903188
7,0.9318796319710556,0.8426440479672419
8,0.9584703067556264,0.9561275226674466
9,0.9647143496274971,0.9567124890318807
10,0.9662510455367737,0.9593448376718339
11,0.9676515785173802,0.9612459783562445
12,0.9701803186212531,0.9602222872184849
13,0.9716197552957653,0.9587598713073998
14,0.9717559182244354,0.962269669494004
15,0.976677235503511,0.9643170517695232
16,0.9772802427590499,0.9637320854050891
17,0.9789336497500437,0.9650482597250658
18,0.9790503608317609,0.9654869844983913
19,0.9784084498823162,0.9644632933606317
20,0.9791670719134782,0.9649020181339573
21,0.9791281682195724,0.9656332260894999
22,0.9802369234958859,0.9638783269961977
23,0.980353634577603,0.9650482597250658
24,0.9797311754751113,0.9641708101784148
25,0.9800813087202629,0.9638783269961977
26,0.9803147308836974,0.9637320854050891
27,0.9808788344453305,0.9653407429072828
28,0.9806454122818962,0.9646095349517403
29,0.9808982862922834,0.9640245685873062
30,0.980217471648933,0.9640245685873062
31,0.9803147308836974,0.9646095349517403
32,0.97992569394464,0.9643170517695232
33,0.97992569394464,0.9650482597250658
34,0.9807815752105662,0.9644632933606317
35,0.9809371899861892,0.9657794676806083
36,0.9807426715166605,0.9651945013161743
37,0.980217471648933,0.9647557765428487
38,0.9798089828629228,0.9641708101784148
39,0.9807232196697075,0.9643170517695232
40,0.9804314419654145,0.9647557765428487
41,0.9809371899861892,0.9649020181339573
42,0.9805287012001789,0.9644632933606317
43,0.980956641833142,0.9646095349517403
44,0.9801007605672158,0.9650482597250658
45,0.9800035013324515,0.9641708101784148
46,0.9797117236281585,0.9656332260894999
47,0.9812873232313408,0.9638783269961977
48,0.980373086424556,0.9649020181339573
49,0.9794588496177712,0.9650482597250658
50,0.9802758271897917,0.9644632933606317
