Epoch,Train Loss,Validation Loss
1,1.5816630554054523,2.049220606174759
2,1.543338221359917,1.5806367271788184
3,1.5378379084293199,1.583027486251648
4,1.5371439531861446,1.5710045440603537
5,1.5364023013285968,1.5707544057332274
6,1.5360630449369135,1.5772595829557836
7,1.5363275747168041,1.5745325833951287
8,1.5336713659855858,1.5744255556980746
9,1.533491762040731,1.576292985152975
10,1.5336540320287402,1.576771512440193
11,1.5336241350559063,1.5766384409128766
12,1.533682245516156,1.575296562364416
13,1.5336264859269109,1.5769558189974504
14,1.533568820807004,1.5760132803419034
15,1.5337176912386357,1.5747836569172138
16,1.5333349520835164,1.5747181360886857
17,1.5332249419370894,1.574929394056728
18,1.5334130783351339,1.5748281112084022
19,1.5333567490808933,1.5748045680187501
20,1.5332084439200533,1.5752770575071224
