Epoch,Train Loss,Validation Loss
1,2.0018237174563938,1.9782521842108833
2,1.9512291667726305,1.9132144127104018
3,1.9373065561082627,1.9660197108798556
4,1.9299880135006375,1.9540650170644125
5,1.9291483104493883,1.8957559167014228
6,1.9232809558444552,1.96756101053026
7,1.9284939964718288,1.876249984105428
8,1.8406007787068686,1.8180323004192775
9,1.833650946044922,1.8643808508131239
10,1.8265917048348321,1.8144764017105102
11,1.819877846060859,1.789615605905321
12,1.8048220449447632,1.7888739144007364
13,1.800056885910034,1.778563327937656
14,1.7947397638532852,1.7763344801161025
15,1.735548138915168,1.7226697690327961
16,1.7259839402304755,1.7183459325154622
17,1.7243587758806016,1.7180208907445271
18,1.7220067097557916,1.716458715777927
19,1.719974359703064,1.7220403372446695
20,1.7189634418911404,1.7082201917012532
