Epoch,Train Accuracy,Validation Accuracy
1,0.4707555555555556,0.5614777777777779
2,0.6041444444444445,0.624588888888889
3,0.6586777777777778,0.6744
4,0.6950888888888889,0.6901
5,0.7235555555555556,0.7170777777777778
6,0.744,0.7345111111111111
7,0.7628333333333334,0.7397777777777779
8,0.8220666666666667,0.7793555555555556
9,0.8373555555555556,0.7837222222222222
10,0.8475555555555556,0.7850555555555556
11,0.8544111111111111,0.7865444444444445
12,0.862488888888889,0.7841555555555556
13,0.8701444444444445,0.7839555555555556
14,0.876,0.7854777777777778
15,0.8926666666666667,0.7884111111111112
16,0.8967666666666667,0.7892222222222223
17,0.8979444444444444,0.7884666666666666
18,0.8996000000000001,0.7881777777777779
19,0.9011777777777779,0.7886333333333334
20,0.9028111111111111,0.7875222222222222
