Epoch,Train Loss,Validation Loss
1,1.987290288374159,1.9547911041259765
2,1.9340958023283217,1.8861728559917874
3,1.911224766752455,1.9433189178254868
4,1.9056770520528157,1.976245942179362
5,1.9045946003595988,1.8979314544465806
6,1.9010724385579427,1.9205264606899686
7,1.9017429856830173,1.933060349697537
8,1.8040315847820705,1.7821584915796915
9,1.7912801825205484,1.790225475438436
10,1.7835052022510105,1.7820333393944634
11,1.778221650144789,1.765565233209398
12,1.7702726572036742,1.7476641852908665
13,1.7622121497684056,1.7581810630374484
14,1.7523198755900065,1.737768442577786
15,1.6854133382373386,1.6835960451338026
16,1.675671812417772,1.6731059830559625
17,1.670901652823554,1.6720778733995225
18,1.667340166960822,1.6738676399442884
19,1.6653190857569378,1.6729522141562567
20,1.6622648373921711,1.6655417936960857
