Epoch,Train Loss,Validation Loss
1,1.9751431080712212,1.7604263195037841
2,1.8023326946258544,1.5825333725823296
3,1.7166485147476196,1.5256832225799561
4,1.659728112051222,1.5079008989546034
5,1.6105574972364638,1.4852633321338229
6,1.5673240047242907,1.3784569787131415
7,1.533304096031189,1.3344534486134847
8,1.468913795958625,1.2205890306472778
9,1.4530117953194512,1.2038665486017863
10,1.4446247278425428,1.2021516919030084
11,1.43840028752221,1.1861470022837322
12,1.4284200814141168,1.1842544474389818
13,1.4240811560100979,1.1786993419011433
14,1.414667263200548,1.1615029754214816
15,1.4113923539903428,1.1573913731998868
16,1.4026519741800096,1.1569698203616672
17,1.405022166103787,1.1567764193640815
18,1.4035787950727674,1.1509254595332676
19,1.4008141016218398,1.1496721914079455
20,1.4015713279512194,1.1538743479410807
