Epoch,Train Loss,Validation Loss
1,0.8339717035770416,2.3539195446014403
2,0.9024238488674163,2.334976964569092
3,1.2020413846969604,2.298953971862793
4,1.414018398475647,2.4393223709106446
5,1.5016278888702392,2.340596310043335
6,1.5701046337127686,2.3421012622833253
7,1.6125531280517578,2.328887743759155
8,1.409836387348175,2.3275733867645263
9,1.3441008063316344,2.3409493892669677
10,1.3033435325622558,2.332581581878662
11,1.291176710987091,2.326035062789917
12,1.2785254937171937,2.331536918258667
13,1.2689994985580444,2.3303912147521975
14,1.2683974281311035,2.3370407550811767
15,1.1845557105064393,2.3364989276885986
16,1.1651077752113341,2.3337985370635987
17,1.153971348953247,2.3331271545410157
18,1.142140330696106,2.3316973205566405
19,1.1406879291534424,2.332747217941284
20,1.134908743286133,2.3337183780670165
