Epoch,Train Loss,Validation Loss
1,1.8940276991526286,1.8428350360234578
2,1.737916015073988,1.6709196670956081
3,1.6879685488382976,1.6618984664705065
4,1.67204676905738,1.6606890758302477
5,1.6810104286405776,1.6599300264146593
6,1.674823171742757,1.735693592177497
7,1.6832867060131498,1.778878499560886
8,1.5841805192523533,1.5801056059731378
9,1.5694267041100396,1.5718232513003878
10,1.5655383206685385,1.5753077705595229
11,1.562019634882609,1.5837508254581028
12,1.5595152253044977,1.5875687347200182
13,1.560345473098755,1.559424914126926
14,1.5602874322043525,1.5482026771121555
15,1.5220265377044677,1.5238104574627347
16,1.5183534739176432,1.5223759456422594
17,1.5172885624991523,1.525734496031867
18,1.5150118023342556,1.5221951780107286
19,1.513883198399014,1.5180823539098103
20,1.513421396276686,1.5220003671222262
