epoch,train_loss,test_loss,test_accuracy
0,1.9578901441259817,1.6106526404619217,0.4079
1,1.490811774507165,1.4368501088835977,0.47386666666666666
2,1.3406689446419477,1.2864603384990583,0.5361555555555556
3,1.2113104099407792,1.222165316173976,0.5623888888888889
4,1.1301130458543247,1.1821702285246416,0.5764111111111111
5,1.0409566706723787,1.175632239065387,0.5801555555555555
6,0.9598840018734336,1.1661326775157994,0.5840888888888889
7,0.8850456784394655,1.189483858729628,0.5898
8,0.8065616028722037,1.195341595109891,0.5978222222222223
9,0.7485199256546118,1.718831411816857,0.4809555555555556
10,1.349612563933161,1.257578950205987,0.5517888888888889
11,0.984478589231995,1.157631966200742,0.5877666666666667
12,0.832321310669861,1.2005504303696481,0.5974777777777778
13,0.7196096243252131,1.2720225319604983,0.5891666666666666
14,0.6304346582936969,1.3135307983241298,0.5883333333333334
15,0.5642687178809535,1.3517028169537133,0.5908333333333333
16,0.48105778147212486,1.4988104225221006,0.5850333333333333
17,0.42500199165872554,1.57621997425502,0.5854444444444444
18,0.3714082123161378,1.7167857519604943,0.5830888888888889
19,0.3312824480870569,1.861373687501658,0.5823
20,0.2837187063097107,1.8943914401937614,0.5818333333333333
21,0.2592470463132486,2.0100403270599516,0.5820777777777778
22,0.225689539516514,1.9920650634237311,0.5828777777777778
23,0.20477968216767872,2.1803015915846284,0.5746777777777777
24,0.18316012890268626,2.2897648599676113,0.5811666666666667
25,0.16861406843368473,2.3604134068909017,0.5857222222222223
26,0.15563216687984427,2.3769590917297383,0.5845666666666667
27,0.1327848586211489,2.6151362943717023,0.5825777777777777
28,0.15685949655546044,2.385996925559911,0.5842333333333334
29,0.11164362930470485,2.5692530785771934,0.5828444444444445
30,0.10948376745694656,2.674850096248768,0.5865888888888889
31,0.10500040392269677,2.6381005453453823,0.5854888888888888
32,0.10177267078490165,2.815924858335744,0.5875888888888889
33,0.08591597390477546,2.9136730567975477,0.5785555555555556
34,0.10009023851836735,2.8457567671483215,0.5885333333333334
35,0.07222761397232799,3.0333403022113172,0.5882333333333334
36,0.07538765958849002,2.9264242440800774,0.5888222222222222
37,0.06556355064259894,3.0087670274078846,0.5873666666666667
38,0.05581271347446917,3.137849723242901,0.5879222222222222
39,0.050130259104414356,3.197641238908876,0.5897
40,0.05790186775960716,3.1428499196402053,0.5916333333333333
41,0.06098688272587341,3.1467779625884513,0.5885111111111111
42,0.04438943444818671,3.359300209547986,0.5891555555555555
43,0.057168375663009516,3.1545154704627665,0.5886666666666667
44,0.042991992234667785,3.3829128997908398,0.5932666666666667
45,0.03273037701993334,3.495589214969765,0.5922555555555555
46,0.02991295167827378,3.643292411823164,0.5902444444444445
47,0.05797535391833331,3.4522125846283003,0.5878555555555556
48,0.041159750255412124,3.369522077454762,0.5918222222222222
49,0.048065880311035224,3.2364742451093416,0.5906222222222223
